aqi,co,no2,o3,pm10,pm25,so2
500.0,7.7,171.0,2.0,556.0,500.0,9.0
487.0,7.5,164.0,2.0,541.0,480.0,9.0
457.0,6.6,148.0,2.0,541.0,435.0,10.0
316.0,0.4,122.0,2.0,541.0,266.0,16.0
279.0,0.4,114.0,2.0,541.0,229.0,13.0
242.0,3.3,101.0,2.0,541.0,192.0,12.0
81.0,1.5,77.0,2.0,541.0,60.0,13.0
44.0,0.1,72.0,2.0,541.0,31.0,9.0
26.0,0.7,52.0,2.0,541.0,12.0,7.0
34.0,0.9,60.0,2.0,541.0,24.0,10.0
26.0,0.7,52.0,2.0,541.0,17.0,10.0
99.0,1.5,61.0,2.0,123.0,74.0,9.0
302.0,4.8,127.0,2.0,269.0,252.0,17.0
291.0,3.7,110.0,2.0,269.0,241.0,19.0
289.0,4.2,127.0,2.0,266.0,239.0,18.0
313.0,4.2,119.0,2.0,266.0,263.0,21.0
282.0,3.8,111.0,2.0,266.0,232.0,21.0
269.0,3.6,110.0,2.0,266.0,219.0,17.0
221.0,2.6,96.0,2.0,266.0,171.0,14.0
223.0,2.6,94.0,2.0,266.0,173.0,16.0
201.0,2.4,92.0,2.0,266.0,151.0,15.0
200.0,2.4,96.0,2.0,266.0,150.0,17.0
263.0,3.3,118.0,2.0,221.0,213.0,19.0
282.0,3.5,120.0,2.0,221.0,232.0,14.0
500.0,7.7,171.0,2.0,556.0,500.0,9.0
487.0,7.5,164.0,2.0,541.0,480.0,9.0
457.0,6.6,148.0,2.0,541.0,435.0,10.0
316.0,0.4,122.0,2.0,541.0,266.0,16.0
279.0,0.4,114.0,2.0,541.0,229.0,13.0
242.0,3.3,101.0,2.0,541.0,192.0,12.0
81.0,1.5,77.0,2.0,541.0,60.0,13.0
44.0,0.1,72.0,2.0,541.0,31.0,9.0
26.0,0.7,52.0,2.0,541.0,12.0,7.0
34.0,0.9,60.0,2.0,541.0,24.0,10.0
26.0,0.7,52.0,2.0,541.0,17.0,10.0
99.0,1.5,61.0,2.0,123.0,74.0,9.0
302.0,4.8,127.0,2.0,269.0,252.0,17.0
291.0,3.7,110.0,2.0,269.0,241.0,19.0
289.0,4.2,127.0,2.0,266.0,239.0,18.0
313.0,4.2,119.0,2.0,266.0,263.0,21.0
282.0,3.8,111.0,2.0,266.0,232.0,21.0
269.0,3.6,110.0,2.0,266.0,219.0,17.0
221.0,2.6,96.0,2.0,266.0,171.0,14.0
223.0,2.6,94.0,2.0,266.0,173.0,16.0
201.0,2.4,92.0,2.0,266.0,151.0,15.0
200.0,2.4,96.0,2.0,266.0,150.0,17.0
263.0,3.3,118.0,2.0,221.0,213.0,19.0
282.0,3.5,120.0,2.0,221.0,232.0,14.0
500.0,7.7,171.0,2.0,556.0,500.0,9.0
487.0,7.5,164.0,2.0,541.0,480.0,9.0
457.0,6.6,148.0,2.0,541.0,435.0,10.0
316.0,0.4,122.0,2.0,541.0,266.0,16.0
279.0,0.4,114.0,2.0,541.0,229.0,13.0
242.0,3.3,101.0,2.0,541.0,192.0,12.0
81.0,1.5,77.0,2.0,541.0,60.0,13.0
44.0,0.1,72.0,2.0,541.0,31.0,9.0
26.0,0.7,52.0,2.0,541.0,12.0,7.0
34.0,0.9,60.0,2.0,541.0,24.0,10.0
26.0,0.7,52.0,2.0,541.0,17.0,10.0
99.0,1.5,61.0,2.0,123.0,74.0,9.0
302.0,4.8,127.0,2.0,269.0,252.0,17.0
291.0,3.7,110.0,2.0,269.0,241.0,19.0
289.0,4.2,127.0,2.0,266.0,239.0,18.0
313.0,4.2,119.0,2.0,266.0,263.0,21.0
282.0,3.8,111.0,2.0,266.0,232.0,21.0
269.0,3.6,110.0,2.0,266.0,219.0,17.0
221.0,2.6,96.0,2.0,266.0,171.0,14.0
223.0,2.6,94.0,2.0,266.0,173.0,16.0
201.0,2.4,92.0,2.0,266.0,151.0,15.0
200.0,2.4,96.0,2.0,266.0,150.0,17.0
263.0,3.3,118.0,2.0,221.0,213.0,19.0
282.0,3.5,120.0,2.0,221.0,232.0,14.0
317.0,6.8,120.0,2.0,344.0,267.0,7.0
239.0,6.5,111.0,2.0,344.0,189.0,7.0
223.0,6.1,110.0,2.0,344.0,173.0,7.0
221.0,4.7,111.0,2.0,344.0,171.0,8.0
238.0,4.3,107.0,2.0,344.0,188.0,9.0
312.0,6.2,122.0,2.0,344.0,262.0,10.0
376.0,7.3,133.0,2.0,393.0,326.0,9.0
341.0,6.9,130.0,2.0,366.0,291.0,10.0
328.0,6.5,126.0,2.0,320.0,278.0,12.0
310.0,6.2,125.0,2.0,303.0,260.0,14.0
318.0,6.6,127.0,2.0,287.0,268.0,17.0
305.0,6.5,125.0,2.0,287.0,255.0,15.0
282.0,5.6,117.0,2.0,287.0,232.0,17.0
255.0,4.5,108.0,2.0,287.0,205.0,21.0
249.0,0.4,103.0,2.0,287.0,199.0,21.0
233.0,4.1,108.0,2.0,287.0,183.0,25.0
245.0,4.1,114.0,2.0,287.0,195.0,25.0
230.0,0.4,117.0,2.0,287.0,180.0,25.0
221.0,0.4,119.0,2.0,186.0,171.0,23.0
245.0,4.3,117.0,2.0,186.0,195.0,21.0
265.0,4.6,120.0,2.0,186.0,215.0,20.0
260.0,4.5,118.0,2.0,186.0,210.0,19.0
251.0,4.3,120.0,2.0,186.0,201.0,19.0
246.0,4.6,118.0,2.0,186.0,196.0,18.0
249.0,4.6,114.0,2.0,223.0,199.0,17.0
234.0,4.3,112.0,2.0,223.0,184.0,22.0
234.0,4.2,113.0,2.0,223.0,184.0,24.0
255.0,4.6,121.0,2.0,223.0,205.0,27.0
247.0,4.5,116.0,2.0,223.0,197.0,28.0
229.0,4.2,112.0,2.0,223.0,179.0,29.0
220.0,4.2,111.0,2.0,223.0,170.0,27.0
229.0,4.3,108.0,2.0,223.0,179.0,27.0
218.0,4.2,102.0,2.0,223.0,168.0,27.0
219.0,4.2,101.0,2.0,223.0,169.0,28.0
228.0,4.1,104.0,2.0,223.0,178.0,32.0
217.0,4.6,122.0,2.0,223.0,167.0,36.0
257.0,5.2,125.0,2.0,223.0,207.0,33.0
276.0,5.2,132.0,2.0,223.0,226.0,31.0
